Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	RNA binding (GO:0003723)	190/1406	1.412409e-02	6.830304e-01	0	0	1.202643e+00	5.123105e+00	RPL4;SRP19;RPL5;RPL30;RPL3;TFRC;RPL32;RPL31;RPL34;ENO1;RPL8;RPL10A;RPL9;RPL6;RPL7;THG1L;HERC5;NYNRIN;RPS15;ENDOU;RIMS1;RPS14;FBL;ENDOV;ZFP36;RPS17;RPS16;SNRPD2;RPL18A;RPS19;RPL36;RPL35;RPL38;NUDT16;RPL37;RPS11;SLC16A3;RPS10;RPS13;EIF2A;CAST;PDIA3;RBFOX1;RPS9;RPS7;ACTN1;RPS5;RPL22;RPS6;CIRBP;RPSA;HLA-A;GTF2F1;THOC5;EEF1A1;DDX39B;HNRNPUL2;PSPC1;RPL24;TFAM;RPL26;RPL29;RPL28;SNRPA;PRKDC;RPN1;UBFD1;RPS4Y1;HSP90B1;FXR1;BAG4;PCBP4;PCBP2;GAR1;NLRP1;GCN1;RBM11;BTF3;HSPA8;RPL41;PRPF38A;GOT2;NR0B1;EEF2;MRPL21;EIF1;H1-2;DAZL;H1-4;RPS25;RPS28;RPS27;RPL27A;HNRNPF;SPATS2L;RPS20;CALR;ALDH18A1;LSM14A;EIF4G3;RSL24D1;RPS21;EIF4G2;RPS23;RPLP0;HMGB2;ZC3H8;AATF;ZCCHC17;YBX3;H1-10;ELAVL2;DUSP14;MRPL41;RPL7A;RACK1;WDR36;APOBEC2;MRPS24;PABPC4;RPL13A;EDF1;TFB2M;TRNAU1AP;PTBP3;RPUSD4;SARS1;PKM;SYF2;ESRP2;NOA1;CSDE1;CANX;RPL37A;ZNF239;TOP1;PABPC1;DDX27;KARS1;RPL12;RPL11;RPL36A;AKAP8;RRBP1;SLC3A2;GANAB;RPS15A;EIF4H;RPL14;RPS3;RPL13;RPL15;RPS2;RPS27A;RPL18;RPL17;EIF4B;RPL19;NPM1;SF3A1;SF3A2;YTHDF2;YTHDF3;CNBP;SAMD4A;ADAT1;PDAP1;RPL35A;RPL23A;DEK;RSL1D1;MFAP1;CCDC9;EIF3L;EIF3I;HNRNPA2B1;EIF3G;EIF3H;PRPF31;P4HB;FAM98A;VIM;FAU;EIF3C;EIF3D;NOP53;TRIM32;RBMX;EIF3A;TPT1
GO_Molecular_Function_2021	small ribosomal subunit rRNA binding (GO:0070181)	4/9	1.422980e-02	6.830304e-01	0	0	6.081583e+00	2.586143e+01	RPS14;CIRBP;RPS3;RPS13
GO_Molecular_Function_2021	arylsulfatase activity (GO:0004065)	5/14	1.725347e-02	7.845789e-01	0	0	4.224183e+00	1.714909e+01	ARSA;STS;ARSJ;SULF1;SULF2
GO_Molecular_Function_2021	ligand-gated channel activity (GO:0022834)	8/30	1.855436e-02	8.015482e-01	0	0	2.766458e+00	1.103001e+01	GRIA2;CHRNB1;GRIN2A;GRIK3;GRIK1;CNGA3;GRIN2C;GRIA3
GO_Molecular_Function_2021	ligand-gated ion channel activity (GO:0015276)	8/31	2.252527e-02	8.890027e-01	0	0	2.646027e+00	1.003669e+01	GRIA2;CHRNB1;GRIN2A;GRIK3;GRIK1;CNGA3;GRIN2C;GRIA3
GO_Molecular_Function_2021	zinc ion transmembrane transporter activity (GO:0005385)	6/20	2.263664e-02	8.890027e-01	0	0	3.259136e+00	1.234621e+01	SLC30A5;SLC39A11;SLC39A13;SLC39A12;SLC39A7;SLC39A3
GO_Molecular_Function_2021	supercoiled DNA binding (GO:0097100)	3/6	2.400543e-02	9.017693e-01	0	0	7.599570e+00	2.834241e+01	HMGB2;RPS3;TOP1
GO_Molecular_Function_2021	neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential (GO:0099529)	6/21	2.865080e-02	9.999956e-01	0	0	3.041688e+00	1.080582e+01	CHRNB1;GABRA6;GABRA5;GABRA4;GRIK3;GRIK1
GO_Molecular_Function_2021	branched-chain amino acid transmembrane transporter activity (GO:0015658)	3/7	3.841729e-02	9.999956e-01	0	0	5.699355e+00	1.857561e+01	SLC3A2;SLC6A20;SLC25A44
GO_Molecular_Function_2021	insulin-like growth factor II binding (GO:0031995)	3/7	3.841729e-02	9.999956e-01	0	0	5.699355e+00	1.857561e+01	IGFBP1;INSR;IGFBP6
GO_Molecular_Function_2021	N6-methyladenosine-containing RNA binding (GO:1990247)	3/7	3.841729e-02	9.999956e-01	0	0	5.699355e+00	1.857561e+01	YTHDF2;YTHDF3;HNRNPA2B1
GO_Molecular_Function_2021	phosphatidylinositol phosphate 4-phosphatase activity (GO:0034596)	3/7	3.841729e-02	9.999956e-01	0	0	5.699355e+00	1.857561e+01	INPP4A;INPP5F;SACM1L
GO_Molecular_Function_2021	ribosomal small subunit binding (GO:0043024)	5/17	3.971255e-02	9.999956e-01	0	0	3.167599e+00	1.021895e+01	NPM1;EIF4H;EIF4B;EIF1;UNG
GO_Molecular_Function_2021	sulfuric ester hydrolase activity (GO:0008484)	5/17	3.971255e-02	9.999956e-01	0	0	3.167599e+00	1.021895e+01	ARSA;STS;ARSJ;SULF1;SULF2
GO_Molecular_Function_2021	acid-thiol ligase activity (GO:0016878)	4/13	5.530952e-02	9.999956e-01	0	0	3.377893e+00	9.778358e+00	ACSS2;ACSS1;SLC27A2;AACS
GO_Molecular_Function_2021	BMP receptor binding (GO:0070700)	4/13	5.530952e-02	9.999956e-01	0	0	3.377893e+00	9.778358e+00	GDF15;SRC;BMP8B;BMP6
GO_Molecular_Function_2021	glucosidase activity (GO:0015926)	3/8	5.624755e-02	9.999956e-01	0	0	4.559226e+00	1.312142e+01	GANAB;MOGS;LCTL
GO_Molecular_Function_2021	hexosyltransferase activity (GO:0016758)	20/119	5.798726e-02	9.999956e-01	0	0	1.538172e+00	4.379994e+00	B4GALT2;POGLUT2;POGLUT1;CHPF2;GBE1;GCNT1;PIGZ;TMTC1;POMGNT2;FUT4;LFNG;EXT2;PIGB;DPY19L1;EXTL1;GCNT3;HAS2;CHSY3;B4GALT4;UGT1A6
GO_Molecular_Function_2021	CoA-ligase activity (GO:0016405)	4/14	7.053195e-02	9.999956e-01	0	0	3.039931e+00	8.060953e+00	ACSS2;ACSS1;SLC27A2;AACS
GO_Molecular_Function_2021	L-glutamate transmembrane transporter activity (GO:0005313)	4/14	7.053195e-02	9.999956e-01	0	0	3.039931e+00	8.060953e+00	SLC17A8;SLC1A6;SLC25A12;SLC25A13
GO_Molecular_Function_2021	phosphatase activity (GO:0016791)	14/79	7.095129e-02	9.999956e-01	0	0	1.638841e+00	4.335981e+00	SACM1L;PLPPR5;PON1;DUSP18;NT5C;NANP;MINPP1;PHOSPHO1;PXYLP1;BPNT2;ALPL;CILP2;NUDT16;LHPP
GO_Molecular_Function_2021	5S rRNA binding (GO:0008097)	3/9	7.725645e-02	9.999956e-01	0	0	3.799140e+00	9.728172e+00	RPL5;RPL11;NOP53
GO_Molecular_Function_2021	intramolecular transferase activity, phosphotransferases (GO:0016868)	3/9	7.725645e-02	9.999956e-01	0	0	3.799140e+00	9.728172e+00	PMM1;PGAM1;PMM2
GO_Molecular_Function_2021	L-aspartate transmembrane transporter activity (GO:0015183)	3/9	7.725645e-02	9.999956e-01	0	0	3.799140e+00	9.728172e+00	SLC1A6;SLC25A12;SLC25A13
GO_Molecular_Function_2021	natural killer cell lectin-like receptor binding (GO:0046703)	3/9	7.725645e-02	9.999956e-01	0	0	3.799140e+00	9.728172e+00	MICA;HLA-E;MICB
GO_Molecular_Function_2021	acidic amino acid transmembrane transporter activity (GO:0015172)	4/15	8.765312e-02	9.999956e-01	0	0	2.763417e+00	6.727175e+00	SLC17A8;SLC1A6;SLC25A12;SLC25A13
GO_Molecular_Function_2021	transmitter-gated ion channel activity (GO:0022824)	7/34	9.301546e-02	9.999956e-01	0	0	1.970974e+00	4.681042e+00	GRIA2;CHRNB1;GABRA6;GABRA5;GABRA4;GRIK3;GRIK1
GO_Molecular_Function_2021	ribosome binding (GO:0043022)	9/48	9.958228e-02	9.999956e-01	0	0	1.754702e+00	4.047696e+00	SRP19;OXA1L;YTHDF3;RACK1;GTPBP6;RPSA;EEF2;EIF3C;EIF2A
GO_Molecular_Function_2021	benzodiazepine receptor activity (GO:0008503)	3/10	1.011264e-01	9.999956e-01	0	0	3.256221e+00	7.461253e+00	GABRA6;GABRA5;GABRA4
GO_Molecular_Function_2021	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides (GO:0016812)	3/10	1.011264e-01	9.999956e-01	0	0	3.256221e+00	7.461253e+00	DPYSL2;CAD;CRMP1
GO_Molecular_Function_2021	leucine zipper domain binding (GO:0043522)	3/10	1.011264e-01	9.999956e-01	0	0	3.256221e+00	7.461253e+00	DDIT3;ERC1;AATF
GO_Molecular_Function_2021	P-type proton-exporting transporter activity (GO:0008553)	3/10	1.011264e-01	9.999956e-01	0	0	3.256221e+00	7.461253e+00	ATP4A;ATP2A3;ATP2A2
GO_Molecular_Function_2021	phospholipase A1 activity (GO:0008970)	3/10	1.011264e-01	9.999956e-01	0	0	3.256221e+00	7.461253e+00	ABHD3;PLAAT3;PLAAT4
GO_Molecular_Function_2021	Tat protein binding (GO:0030957)	3/10	1.011264e-01	9.999956e-01	0	0	3.256221e+00	7.461253e+00	NPM1;MDFIC;TRIM32
GO_Molecular_Function_2021	voltage-gated chloride channel activity (GO:0005247)	3/10	1.011264e-01	9.999956e-01	0	0	3.256221e+00	7.461253e+00	ANO1;CLCNKB;CLCNKA
GO_Molecular_Function_2021	DNA binding, bending (GO:0008301)	4/16	1.065659e-01	9.999956e-01	0	0	2.532989e+00	5.671342e+00	SAP30L;HMGB2;TFAM;FOXL1
GO_Molecular_Function_2021	transmembrane receptor protein serine/threonine kinase binding (GO:0070696)	4/16	1.065659e-01	9.999956e-01	0	0	2.532989e+00	5.671342e+00	GDF15;SRC;BMP8B;BMP6
GO_Molecular_Function_2021	tRNA methyltransferase activity (GO:0008175)	4/16	1.065659e-01	9.999956e-01	0	0	2.532989e+00	5.671342e+00	METTL2B;BCDIN3D;LCMT2;TARBP1
GO_Molecular_Function_2021	activin receptor activity, type I (GO:0016361)	2/5	1.065939e-01	9.999956e-01	0	0	5.064202e+00	1.133737e+01	ACVR1;TGFBR1
GO_Molecular_Function_2021	aminoacyl-tRNA editing activity (GO:0002161)	2/5	1.065939e-01	9.999956e-01	0	0	5.064202e+00	1.133737e+01	TARS2;DTD2
GO_Molecular_Function_2021	C-palmitoyltransferase activity (GO:0016454)	2/5	1.065939e-01	9.999956e-01	0	0	5.064202e+00	1.133737e+01	SPTSSB;SPTSSA
GO_Molecular_Function_2021	dolichyl-diphosphooligosaccharide-protein glycotransferase activity (GO:0004579)	2/5	1.065939e-01	9.999956e-01	0	0	5.064202e+00	1.133737e+01	RPN2;RPN1
GO_Molecular_Function_2021	glutamate-gated calcium ion channel activity (GO:0022849)	2/5	1.065939e-01	9.999956e-01	0	0	5.064202e+00	1.133737e+01	GRIN2A;GRIN2C
GO_Molecular_Function_2021	histone demethylase activity (H3-trimethyl-K4 specific) (GO:0034647)	2/5	1.065939e-01	9.999956e-01	0	0	5.064202e+00	1.133737e+01	KDM5B;JARID2
GO_Molecular_Function_2021	kainate selective glutamate receptor activity (GO:0015277)	2/5	1.065939e-01	9.999956e-01	0	0	5.064202e+00	1.133737e+01	GRIK3;GRIK1
GO_Molecular_Function_2021	N-acetylgalactosamine 4-O-sulfotransferase activity (GO:0001537)	2/5	1.065939e-01	9.999956e-01	0	0	5.064202e+00	1.133737e+01	CHST11;CHST14
GO_Molecular_Function_2021	NAADP-sensitive calcium-release channel activity (GO:0072345)	2/5	1.065939e-01	9.999956e-01	0	0	5.064202e+00	1.133737e+01	MCOLN2;TPCN1
GO_Molecular_Function_2021	serine C-palmitoyltransferase activity (GO:0004758)	2/5	1.065939e-01	9.999956e-01	0	0	5.064202e+00	1.133737e+01	SPTSSB;SPTSSA
GO_Molecular_Function_2021	sphingomyelin phosphodiesterase activity (GO:0004767)	2/5	1.065939e-01	9.999956e-01	0	0	5.064202e+00	1.133737e+01	SMPD1;SMPDL3A
GO_Molecular_Function_2021	transforming growth factor beta receptor activity, type I (GO:0005025)	2/5	1.065939e-01	9.999956e-01	0	0	5.064202e+00	1.133737e+01	ACVR1;TGFBR1
GO_Molecular_Function_2021	type 1 fibroblast growth factor receptor binding (GO:0005105)	2/5	1.065939e-01	9.999956e-01	0	0	5.064202e+00	1.133737e+01	FGF18;NPTN
GO_Molecular_Function_2021	mRNA 3'-UTR binding (GO:0003730)	14/85	1.137432e-01	9.999956e-01	0	0	1.499836e+00	3.260361e+00	RPL5;RPL41;RPS7;PABPC4;CIRBP;YBX3;ELAVL2;FXR1;DAZL;RSL1D1;ZFP36;PCBP4;HNRNPA2B1;PABPC1
GO_Molecular_Function_2021	calcium-release channel activity (GO:0015278)	4/17	1.271361e-01	9.999956e-01	0	0	2.338011e+00	4.822141e+00	RYR1;ITPR2;MCOLN2;TPCN1
GO_Molecular_Function_2021	AMP binding (GO:0016208)	3/11	1.274935e-01	9.999956e-01	0	0	2.849032e+00	5.868123e+00	ACSS2;PRKAG2;PFKP
GO_Molecular_Function_2021	extracellular ligand-gated ion channel activity (GO:0005230)	3/11	1.274935e-01	9.999956e-01	0	0	2.849032e+00	5.868123e+00	GABRA6;GABRA5;GABRA4
GO_Molecular_Function_2021	purine ribonucleotide transmembrane transporter activity (GO:0005346)	3/11	1.274935e-01	9.999956e-01	0	0	2.849032e+00	5.868123e+00	SLC35B3;SLC35B2;SLC17A9
GO_Molecular_Function_2021	vinculin binding (GO:0017166)	3/11	1.274935e-01	9.999956e-01	0	0	2.849032e+00	5.868123e+00	ACTN1;DAG1;SORBS3
GO_Molecular_Function_2021	transition metal ion transmembrane transporter activity (GO:0046915)	6/30	1.284628e-01	9.999956e-01	0	0	1.900086e+00	3.899196e+00	SLC30A5;SLC39A11;SLC39A13;SLC39A7;SLC39A12;SLC39A3
GO_Molecular_Function_2021	transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315)	6/30	1.284628e-01	9.999956e-01	0	0	1.900086e+00	3.899196e+00	CHRNB1;GABRA6;GABRA5;GABRA4;GRIK3;GRIK1
GO_Molecular_Function_2021	sodium channel regulator activity (GO:0017080)	7/37	1.319263e-01	9.999956e-01	0	0	1.773575e+00	3.592397e+00	FGF14;FXYD4;FXYD2;FXYD6;FGF11;PTPN3;SCN2B
GO_Molecular_Function_2021	cadherin binding (GO:0045296)	44/322	1.461868e-01	9.999956e-01	0	0	1.205345e+00	2.317721e+00	PTPRT;LAD1;DOCK9;SRC;RPL34;CTNND2;UBFD1;SLC3A2;ENO1;RPL6;H1-10;GOLGA3;RPL7A;MPRIP;RACK1;RPL14;CDH23;EIF4H;EPS8L1;RPL15;RPS2;ERC1;EMD;WASF2;GCN1;EIF2A;ACVR1;CAST;SH3GLB2;HSPA8;JUP;SWAP70;PARVA;RPL23A;EEF2;EEF1G;RSL1D1;PKM;EEF1D;RPL24;RPL29;EIF4G2;PFKP;CDH19
GO_Molecular_Function_2021	alkaline phosphatase activity (GO:0004035)	2/6	1.478882e-01	9.999956e-01	0	0	3.797936e+00	7.258991e+00	ALPL;CILP2
GO_Molecular_Function_2021	BH domain binding (GO:0051400)	2/6	1.478882e-01	9.999956e-01	0	0	3.797936e+00	7.258991e+00	RACK1;IRGM
GO_Molecular_Function_2021	BH3 domain binding (GO:0051434)	2/6	1.478882e-01	9.999956e-01	0	0	3.797936e+00	7.258991e+00	RACK1;IRGM
GO_Molecular_Function_2021	dihydropyrimidinase activity (GO:0004157)	2/6	1.478882e-01	9.999956e-01	0	0	3.797936e+00	7.258991e+00	DPYSL2;CRMP1
GO_Molecular_Function_2021	glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase activity (GO:0047238)	2/6	1.478882e-01	9.999956e-01	0	0	3.797936e+00	7.258991e+00	CHPF2;CHSY3
GO_Molecular_Function_2021	oligosaccharyl transferase activity (GO:0004576)	2/6	1.478882e-01	9.999956e-01	0	0	3.797936e+00	7.258991e+00	RPN2;RPN1
GO_Molecular_Function_2021	STAT family protein binding (GO:0097677)	2/6	1.478882e-01	9.999956e-01	0	0	3.797936e+00	7.258991e+00	FAM220A;PTPRT
GO_Molecular_Function_2021	thiol oxidase activity (GO:0016972)	2/6	1.478882e-01	9.999956e-01	0	0	3.797936e+00	7.258991e+00	P4HB;GFER
GO_Molecular_Function_2021	thyroid hormone transmembrane transporter activity (GO:0015349)	2/6	1.478882e-01	9.999956e-01	0	0	3.797936e+00	7.258991e+00	SLC16A10;SLC16A2
GO_Molecular_Function_2021	U4 snRNA binding (GO:0030621)	2/6	1.478882e-01	9.999956e-01	0	0	3.797936e+00	7.258991e+00	DDX39B;PRPF31
GO_Molecular_Function_2021	adenine nucleotide transmembrane transporter activity (GO:0000295)	3/12	1.559716e-01	9.999956e-01	0	0	2.532330e+00	4.705274e+00	SLC35B3;SLC35B2;SLC17A9
GO_Molecular_Function_2021	BMP binding (GO:0036122)	3/12	1.559716e-01	9.999956e-01	0	0	2.532330e+00	4.705274e+00	GREM1;SOST;GDF5
GO_Molecular_Function_2021	beta-tubulin binding (GO:0048487)	6/32	1.614541e-01	9.999956e-01	0	0	1.753727e+00	3.197982e+00	UXT;TTLL7;GABARAPL2;TRPV4;EMD;GABARAP
GO_Molecular_Function_2021	SH2 domain binding (GO:0042169)	6/32	1.614541e-01	9.999956e-01	0	0	1.753727e+00	3.197982e+00	SRC;TRPV4;DAG1;RACK1;SQSTM1;SH2B2
GO_Molecular_Function_2021	GABA-A receptor activity (GO:0004890)	4/19	1.726166e-01	9.999956e-01	0	0	2.026047e+00	3.559121e+00	GABRQ;GABRA6;GABRA5;GABRA4
GO_Molecular_Function_2021	ligand-gated calcium channel activity (GO:0099604)	4/19	1.726166e-01	9.999956e-01	0	0	2.026047e+00	3.559121e+00	RYR1;GRIN2A;GRIN2C;TRPM5
GO_Molecular_Function_2021	nucleotidyltransferase activity (GO:0016779)	4/19	1.726166e-01	9.999956e-01	0	0	2.026047e+00	3.559121e+00	MOCS3;PAPSS2;PAPSS1;THG1L
GO_Molecular_Function_2021	single-stranded DNA helicase activity (GO:0017116)	4/19	1.726166e-01	9.999956e-01	0	0	2.026047e+00	3.559121e+00	RFC5;MCM7;RFC2;WRNIP1
GO_Molecular_Function_2021	1-acylglycerol-3-phosphate O-acyltransferase activity (GO:0003841)	3/13	1.861702e-01	9.999956e-01	0	0	2.278968e+00	3.831158e+00	GPAT3;LCLAT1;AGPAT4
GO_Molecular_Function_2021	GABA-gated chloride ion channel activity (GO:0022851)	3/13	1.861702e-01	9.999956e-01	0	0	2.278968e+00	3.831158e+00	GABRA6;GABRA5;GABRA4
GO_Molecular_Function_2021	insulin-like growth factor I binding (GO:0031994)	3/13	1.861702e-01	9.999956e-01	0	0	2.278968e+00	3.831158e+00	IGFBP1;INSR;IGFBP6
GO_Molecular_Function_2021	acetylglucosaminyltransferase activity (GO:0008375)	8/48	1.896762e-01	9.999956e-01	0	0	1.520000e+00	2.526904e+00	LFNG;EXT2;EXTL2;EXTL1;GCNT1;MGAT3;GCNT3;POMGNT2
GO_Molecular_Function_2021	1-alkyl-2-acetylglycerophosphocholine esterase activity (GO:0003847)	2/7	1.916766e-01	9.999956e-01	0	0	3.038177e+00	5.018904e+00	PAFAH1B2;PAFAH2
GO_Molecular_Function_2021	[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity (GO:0008467)	2/7	1.916766e-01	9.999956e-01	0	0	3.038177e+00	5.018904e+00	HS3ST5;HS3ST4
GO_Molecular_Function_2021	acyl-CoA oxidase activity (GO:0003997)	2/7	1.916766e-01	9.999956e-01	0	0	3.038177e+00	5.018904e+00	ACADL;ACAA1
GO_Molecular_Function_2021	ADP transmembrane transporter activity (GO:0015217)	2/7	1.916766e-01	9.999956e-01	0	0	3.038177e+00	5.018904e+00	SLC17A9;SLC25A6
GO_Molecular_Function_2021	beta-1,3-galactosyltransferase activity (GO:0048531)	2/7	1.916766e-01	9.999956e-01	0	0	3.038177e+00	5.018904e+00	C1GALT1C1;C1GALT1C1L
GO_Molecular_Function_2021	carbohydrate:proton symporter activity (GO:0005351)	2/7	1.916766e-01	9.999956e-01	0	0	3.038177e+00	5.018904e+00	SLC2A9;SLC2A10
GO_Molecular_Function_2021	ceramide 1-phosphate binding (GO:1902387)	2/7	1.916766e-01	9.999956e-01	0	0	3.038177e+00	5.018904e+00	GLTPD2;PLA2G4A
GO_Molecular_Function_2021	galactosidase activity (GO:0015925)	2/7	1.916766e-01	9.999956e-01	0	0	3.038177e+00	5.018904e+00	GLB1;GLA
GO_Molecular_Function_2021	histone threonine kinase activity (GO:0035184)	2/7	1.916766e-01	9.999956e-01	0	0	3.038177e+00	5.018904e+00	PRKCA;VRK1
GO_Molecular_Function_2021	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818)	2/7	1.916766e-01	9.999956e-01	0	0	3.038177e+00	5.018904e+00	PHOSPHO1;ALPL
GO_Molecular_Function_2021	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity (GO:0004571)	2/7	1.916766e-01	9.999956e-01	0	0	3.038177e+00	5.018904e+00	EDEM3;MAN1A2
GO_Molecular_Function_2021	mannosyl-oligosaccharide mannosidase activity (GO:0015924)	2/7	1.916766e-01	9.999956e-01	0	0	3.038177e+00	5.018904e+00	EDEM3;MAN1A2
GO_Molecular_Function_2021	morphogen activity (GO:0016015)	2/7	1.916766e-01	9.999956e-01	0	0	3.038177e+00	5.018904e+00	GREM1;NODAL
GO_Molecular_Function_2021	N-acetylglucosamine 6-O-sulfotransferase activity (GO:0001517)	2/7	1.916766e-01	9.999956e-01	0	0	3.038177e+00	5.018904e+00	CHST6;CHST2
GO_Molecular_Function_2021	phosphofructokinase activity (GO:0008443)	2/7	1.916766e-01	9.999956e-01	0	0	3.038177e+00	5.018904e+00	PFKFB4;PFKP
GO_Molecular_Function_2021	UDP-xylosyltransferase activity (GO:0035252)	2/7	1.916766e-01	9.999956e-01	0	0	3.038177e+00	5.018904e+00	POGLUT2;POGLUT1
GO_Molecular_Function_2021	ubiquitin-like protein-specific protease activity (GO:0019783)	4/20	1.971798e-01	9.999956e-01	0	0	1.899312e+00	3.083797e+00	USP21;COPS2;EIF3H;EIF3F
GO_Molecular_Function_2021	ligand-gated cation channel activity (GO:0099094)	12/80	2.166827e-01	9.999956e-01	0	0	1.341359e+00	2.051369e+00	CHRNB1;GRIA2;GRIN2A;P2RX5;SCNN1A;GRIK3;GRIK1;KCNN3;TRPM5;GRIN2C;GRIA3;ASIC1
GO_Molecular_Function_2021	inhibitory extracellular ligand-gated ion channel activity (GO:0005237)	3/14	2.177080e-01	9.999956e-01	0	0	2.071672e+00	3.158472e+00	GABRA6;GABRA5;GABRA4
GO_Molecular_Function_2021	LRR domain binding (GO:0030275)	3/14	2.177080e-01	9.999956e-01	0	0	2.071672e+00	3.158472e+00	DDIT3;ERC1;AATF
GO_Molecular_Function_2021	protein kinase C activity (GO:0004697)	3/14	2.177080e-01	9.999956e-01	0	0	2.071672e+00	3.158472e+00	PRKCD;PRKCA;PRKCZ
GO_Molecular_Function_2021	translation elongation factor activity (GO:0003746)	3/14	2.177080e-01	9.999956e-01	0	0	2.071672e+00	3.158472e+00	EEF1A1;EEF1B2;EEF2
GO_Molecular_Function_2021	protein kinase inhibitor activity (GO:0004860)	7/43	2.289155e-01	9.999956e-01	0	0	1.477476e+00	2.178394e+00	DNAJC3;CDKN1A;NPM1;SH3BP5L;RACK1;PARVA;INKA2
